Money For Nothing Export - December 2025,,,
,,,
--- INCOME ---,,,
Name,Default Amount,Current Amount,Paycheck Number
Paycheck 1,3000,3000,1
Paycheck 2,3000,3000,2
Tashia,200,200,
,,,
--- BILLS ---,,,
Name,Amount,Paid,
Mortgage,2440,No,
Van,600,Yes,
,,,
--- SAVINGS ---,,,
Name,Amount,,
Chase Savings,2000,,
PNC Savings,16000,,
,,,
--- SAVINGS HISTORY ---,,,
Month,Total,,
2025-01,100,,
2025-02,200,,
2025-03,300,,
2025-04,1000,,
2025-05,2000,,
2025-06,1000,,
2025-07,5000,,
2025-08,10000,,
2025-09,11000,,
2025-10,12000,,
2025-11,12500,,